SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - Pepsi/Diet | 1.11
    - Mirinda | 1.11
    - 7up/Diet | 1.11
    - Sparkling Water | 1.11
    - Juice | 0.89

RESTAURANT: SUBMARINE
    - Spicy Steak | 6.89
    - Chinese | 5.56
    - Mexican | 6.00
    - Tawook | 5.44
    - Francisco | 6.11
    - Crab | 5.89
    - Shrimp | 7.44
    - Crab & Shrimp | 7.78
    - Supreme | 6.33
    - Makanek | 5.78
    - Spicy Fajita | 7.22
    - Philadelphia | 7.33
    - Escalope | 5.56
    - Twister | 6.11
    - Rosto | 6.11
    - Rosto & Cheese | 6.67
    - Honey Mustard | 6.67
    - Chicken Sub | 6.11
    - Sojok | 5.78
    - Dynamite Chicken | 7.22
    - Truffle Steak | 8.67
    - Dynamite Shrimp | 8.67
    - Lebanese | 6.89
    - Submarine | 8.44
    - Classic Smash | 7.11
    - Mozzarella | 8.44

RESTAURANT: Krispy Tender
    - Krispy Meal 3 Pcs (with drink) | 10.00
    - Krispy Meal 5 Pcs | 6.11
    - Krispy Meal 8 Pcs | 20.00
    - Twins Combo | 8.33
    - Friends Meal | 21.11
    - Family Meal | 37.22
    - Cheese Royale Deluxe Combo | 10.56
    - Cheese Royale Deluxe (Double Up) Combo | 12.22
    - Krispy Tender Burger Combo | 9.44
    - Combo Meal | 6.67
    - Krispy Wrap Delight Combo | 9.44
    - BBQ Wrap Combo | 9.44
    - Double Combo Meal | 13.33
    - Kids Meal Burger | 6.11
    - Kids Meal Nuggets | 6.11
    - Cheese Royale Deluxe (Sandwich) | 6.67
    - Royale Sandwich (Double Up) | 9.44
    - Delight Wrap Sandwich | 5.56
    - BBQ Wrap Sandwich | 5.56
    - KT Burger | 6.11
    - Tender Loaded Fries | 6.67
    - Krispy 1 Pc | 2.22
    - Coleslaw | 2.22
    - Cheese Fries | 4.89
    - Fries | 3.67
    - Mozzarella Sticks 3 Pcs | 3.67
    - Pepsi | 1.22
    - Diet Pepsi | 1.22
    - 7up | 1.22
    - Diet 7up | 1.22
    - Mirinda | 1.22
    - Small Water | 0.56
    - Candia Juice | 0.61

RESTAURANT: Krispy Tender
    - Krispy Meal 3 Pcs (with drink) | 10.00
    - Krispy Meal 5 Pcs | 6.11
    - Krispy Meal 8 Pcs | 20.00
    - Twins Combo | 8.33
    - Friends Meal | 21.11
    - Family Meal | 37.22
    - Cheese Royale Deluxe Combo | 10.56
    - Cheese Royale Deluxe (Double Up) Combo | 12.22
    - Krispy Tender Burger Combo | 9.44
    - Combo Meal | 6.67
    - Krispy Wrap Delight Combo | 9.44
    - BBQ Wrap Combo | 9.44
    - Double Combo Meal | 13.33
    - Kids Meal Burger | 6.11
    - Kids Meal Nuggets | 6.11
    - Cheese Royale Deluxe (Sandwich) | 6.67
    - Royale Sandwich (Double Up) | 9.44
    - Delight Wrap Sandwich | 5.56
    - BBQ Wrap Sandwich | 5.56
    - KT Burger | 6.11
    - Tender Loaded Fries | 6.67
    - Krispy 1 Pc | 2.22
    - Coleslaw | 2.22
    - Cheese Fries | 4.89
    - Fries | 3.67
    - Mozzarella Sticks 3 Pcs | 3.67
    - Pepsi | 1.22
    - Diet Pepsi | 1.22
    - 7up | 1.22
    - Diet 7up | 1.22
    - Mirinda | 1.22
    - Small Water | 0.56
    - Candia Juice | 0.61

RESTAURANT: Smoking Hub
  CATEGORY: معجنات (دزينة) / Pastries (Dozen)
  CATEGORY: فطاير / Fatayer (Pies)
  CATEGORY: مرطبات / Refreshments
  CATEGORY: إضافات / Extras
  CATEGORY: عجين / Dough
    - Fajita | 4.22
    - Chicken Sub | 3.89
    - Chinese (Sini) | 3.33
    - Steak Sub | 4.22
    - Crispy | 3.33
    - Chicken Pesto | 4.22
    - Crunchy Burger | 3.89
    - Al Ghali Burger | 4.44
    - Classico Burger | 4.44
    - Lebanese Burger | 3.33
    - Burger B | 5.00
    - Mushroom Burger | 5.00
    - Mac Burger | 3.89
    - Honey Butter | 5.00
    - Fried Potato (Large) | 3.33
    - Fried Potato (Small) | 2.22
    - Wedges | 2.78
    - Mozzarella Sticks | 3.89
    - Grilled Chicken Platter | 7.78
    - Scaloppine Platter | 7.78
